ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"103.113.12.90","elite","AS137554","BD","Dewan Riazul Islam","274","N/A","4673","socks4","1995","1","2023-10-10T02:38:31.745Z","97","4101","4217"
"66.42.60.190","elite","AS20473","SG","Choopa","197","N/A","21358","socks5","3011","1","2023-10-10T02:38:30.334Z","88","3741","4260"
"85.113.7.98","elite","AS12997","KG","OJSC Kyrgyztelecom","486","N/A","5678","socks4","681","1","2023-10-10T02:38:30.335Z","91","3891","4272"
"45.77.210.72","elite","AS20473","US","The Constant Company","148","Vultr Holdings, LLC","11874","socks5","3205","1","2023-10-10T02:38:30.251Z","57","2396","4233"
"192.95.30.98","elite","AS16276","CA","OVH SAS","92","OVH Hosting, Inc.","63523","socks5","2488","1","2023-10-10T02:38:29.539Z","99","4280","4307"
"178.184.12.244","elite","AS12389","RU","OJSC \"Sibirtelecom\"","182","OJSC Sibirtelecom","8081","socks4","4393","1","2023-10-10T02:38:29.350Z","75","3199","4244"
"27.191.60.153","elite","AS4134","CN","Chinanet","193","Chinanet HE","3256","socks4","2901","1","2023-10-10T02:38:29.151Z","78","3383","4318"
"36.92.93.141","elite","AS7713","ID","Telekomunikasi Indonesia","282","Temporary","5678","socks4","4501","1","2023-10-10T02:38:28.048Z","99","4214","4256"
"95.182.121.73","elite","AS202984","RU","Chernyshov Aleksandr Aleksandrovich","50","Ildar Gilmutdinov PE","62134","socks5","4805","1","2023-10-10T02:38:27.440Z","22","929","4204"
"202.40.186.157","elite","AS23991","BD","Ranks ITT","187","Ranks ITT Ltd.","4145","socks4","4999","1","2023-10-10T02:38:27.442Z","99","4260","4318"
"176.126.136.74","elite","AS56600","UA","Cyberlan Ltd.","52","Cyberlan Ltd","5678","socks4","5082","1","2023-10-10T02:38:27.840Z","95","4042","4242"
"206.72.206.45","elite","AS19318","US","Interserver, Inc","78","Interserver, Inc","1080","socks5","4904","1","2023-10-10T02:38:25.036Z","97","4075","4192"
"51.254.49.255","elite","AS16276","FR","OVH SAS","6","OVH","52407","socks4","4905","1","2023-10-10T02:38:25.035Z","100","4278","4278"
"209.97.175.231","elite","AS14061","SG","DigitalOcean, LLC","162","DigitalOcean, LLC","45337","socks5","3801","1","2023-10-10T02:38:25.037Z","95","4053","4281"
"104.168.87.16","elite","AS36352","US","ColoCrossing","189","RackNerd LLC","1080","socks4","4708","1","2023-10-10T02:38:24.737Z","91","3900","4289"
"202.152.51.44","elite","AS4800","ID","PT Aplikanusa Lintasarta","286","LA EI","8080","socks4","4712","1","2023-10-10T02:38:24.739Z","94","3920","4151"
